id	title	price_pc	price_mobile	link	image_link	category_name1	category_name2	category_name3	naver_category	brand	maker	shipping	condition
G2000000002	스웰리 에그베이컨치즈 샌드위치 153g	4200	4200	https://snowbearbakery.com/items/G2000000002	https://snowbearbakery.com/upload/item/G2000000002/202605181550080551_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000003	스웰리 에그햄치즈 샌드위치 153g	4000	4000	https://snowbearbakery.com/items/G2000000003	https://snowbearbakery.com/upload/item/G2000000003/202605181550470804_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000004	스웰리 핫도그 오리지널 120g	3000	3000	https://snowbearbakery.com/items/G2000000004	https://snowbearbakery.com/upload/item/G2000000004/202605181551430772_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000005	스웰리 우유크림카스테라 105g	2200	2200	https://snowbearbakery.com/items/G2000000005	https://snowbearbakery.com/upload/item/G2000000005/202605181554530681_L.jpg	식품	빵/베이커리	케이크	50022981	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000006	사과 맘모스빵 140g	3600	3600	https://snowbearbakery.com/items/G2000000006	https://snowbearbakery.com/upload/item/G2000000006/202605181551070103_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000007	인절미토스트 170g	2900	2900	https://snowbearbakery.com/items/G2000000007	https://snowbearbakery.com/upload/item/G2000000007/202605181552020900_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000008	스노우베어 크로크무슈 180g	2800	2800	https://snowbearbakery.com/items/G2000000008	https://snowbearbakery.com/upload/item/G2000000008/202605181553010923_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000009	하트파이 60g x 6개	1500	1500	https://snowbearbakery.com/items/G2000000009	https://snowbearbakery.com/upload/item/G2000000009/202605181558200869_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000012	모카번 80g	1800	1800	https://snowbearbakery.com/items/G2000000012	https://snowbearbakery.com/upload/item/G2000000012/202605181556130414_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000013	달콤레몬머핀 95g	1500	1500	https://snowbearbakery.com/items/G2000000013	https://snowbearbakery.com/upload/item/G2000000013/202605181556310904_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000014	달콤블루베리머핀 95g	1500	1500	https://snowbearbakery.com/items/G2000000014	https://snowbearbakery.com/upload/item/G2000000014/202605181556500589_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000015	달콤초코머핀 95g	1500	1500	https://snowbearbakery.com/items/G2000000015	https://snowbearbakery.com/upload/item/G2000000015/202605181557090147_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000016	감자빵 95g	1000	1000	https://snowbearbakery.com/items/G2000000016	https://snowbearbakery.com/upload/item/G2000000016/202605181557440939_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000017	고구마빵 95g	2200	2200	https://snowbearbakery.com/items/G2000000017	https://snowbearbakery.com/upload/item/G2000000017/202605181558020560_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000018	잉글리쉬머핀샌드 120g	2600	2600	https://snowbearbakery.com/items/G2000000018	https://snowbearbakery.com/upload/item/G2000000018/202605181551250344_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000020	레몬파운드M 105g	2800	2800	https://snowbearbakery.com/items/G2000000020	https://snowbearbakery.com/upload/item/G2000000020/202605181552200399_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000021	얼그레이파운드M 105	2800	2800	https://snowbearbakery.com/items/G2000000021	https://snowbearbakery.com/upload/item/G2000000021/202605181552410608_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000022	레몬아이싱파운드 70g	2300	2300	https://snowbearbakery.com/items/G2000000022	https://snowbearbakery.com/upload/item/G2000000022/202605181554140778_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000023	스트로베리파운드 60g	2300	2300	https://snowbearbakery.com/items/G2000000023	https://snowbearbakery.com/upload/item/G2000000023/202605181554320726_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000024	테이트 생모짜렐라 베이컨 포테이토 치아바타 217g	4600	4600	https://snowbearbakery.com/items/G2000000024	https://snowbearbakery.com/upload/item/G2000000024/202605181548520064_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000025	테이트 더블치즈햄 치아바타 165g	4500	4500	https://snowbearbakery.com/items/G2000000025	https://snowbearbakery.com/upload/item/G2000000025/202605181549110366_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000026	테이트 매콤치즈 불고기 치아바타 190g	4400	4400	https://snowbearbakery.com/items/G2000000026	https://snowbearbakery.com/upload/item/G2000000026/202605181549300102_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000027	테이트 머스타드 치킨랩 샌드위치 165g	4400	4400	https://snowbearbakery.com/items/G2000000027	https://snowbearbakery.com/upload/item/G2000000027/202605181549500274_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000028	테이트 치킨브레스트 155g	4200	4200	https://snowbearbakery.com/items/G2000000028	https://snowbearbakery.com/upload/item/G2000000028/202605181550290383_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000029	초코티그레 53g	2500	2500	https://snowbearbakery.com/items/G2000000029	https://snowbearbakery.com/upload/item/G2000000029/202605181553200796_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000030	얼그레이 초코티그레 53g	2500	2500	https://snowbearbakery.com/items/G2000000030	https://snowbearbakery.com/upload/item/G2000000030/202605181553380555_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000031	말차 초코티그레 53g	2500	2500	https://snowbearbakery.com/items/G2000000031	https://snowbearbakery.com/upload/item/G2000000031/202605181553560197_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000032	달콤바삭크룽지 20g	800	800	https://snowbearbakery.com/items/G2000000032	https://snowbearbakery.com/upload/item/G2000000032/202605181557270285_L.jpg	식품	빵/베이커리	일반빵	50022999	스노우베어베이커리	스노우베어베이커리	3000	신상품
G2000000033	대만 X2딸기크림 샌드위치 57g	1900	1900	https://snowbearbakery.com/items/G2000000033	https://snowbearbakery.com/upload/item/G2000000033/202605181555180041_L.jpg	식품	빵/베이커리	샌드위치	50023119	스노우베어베이커리	스노우베어베이커리	3000	신상품
